"Alder, vurdert",Dødsdato,Observasjons/Jaktdato,Tid_Mellom_Observasjon_Død,Funnsted_kort,RovbaseID,DNAID,Art,Bakgrunn/årsak,Kjønn,Helvekt,Funnsted,Fylke,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Alder på dødt individ,Slaktevekt,Kommune,"Alder, vurdert",Dødsdato,Observasjons/Jaktdato
6.0,1994-09-20,1994-09-20,0,Björkberg,M000010,D044955,Björn,Skyddsjakt,Hane,"220,00",Björkberg,Norrbottens län (S),7321311,760368,Vuxen,,Älvsbyn (S),6,1994-09-20,1994-09-20
1.0,1995-09-09,1995-09-09,0,Rensjön,M000011,D044956,Björn,Skyddsjakt,Hane,"51,00",Rensjön,Norrbottens län (S),7560091,707379,Osäker,,Kiruna (S),1,1995-09-09,1995-09-09
,1997-04-23,1997-04-23,0,Ytterturingen,M000018,D044974,Björn,Skyddsjakt enskilds initiativ,Hane,,Ytterturingen,Västernorrlands län (S),6922681,498579,Osäker,,Ånge (S),,1997-04-23,1997-04-23
,1997-08-24,1997-08-24,0,Dravågen 11:11,M000024,D044972,Björn,Skyddsjakt,Hane,,"Dravågen 11:11, Linsell",Jämtlands län (S),6884705,427080,Osäker,,Härjedalen (S),,1997-08-24,1997-08-24
,1997-09-01,1997-09-01,0,Kaajanpalo,M000031,D044965,Björn,Skyddsjakt,Hona,,Kaajanpalo,Norrbottens län (S),7546206,792549,Osäker,,Kiruna (S),,1997-09-01,1997-09-01
6.0,1997-09-02,1997-09-02,0,Björnberg,M000032,D436546,Björn,Skyddsjakt,Hane,"238,00",Björnberg,Norrbottens län (S),7343171,749688,Vuxen,,Boden (S),6,1997-09-02,1997-09-02
,1997-09-02,1997-09-02,0,Koiravaara,M000033,D044966,Björn,Skyddsjakt,Hona,,Koiravaara,Norrbottens län (S),7509234,771434,Osäker,,Kiruna (S),,1997-09-02,1997-09-02
,1997-09-03,1997-09-03,0,Makkaravaara,M000036,D044967,Björn,Skyddsjakt,Hane,,Makkaravaara,Norrbottens län (S),7530743,795251,Osäker,,Kiruna (S),,1997-09-03,1997-09-03
,1997-09-04,1997-09-04,0,Älgvårdsdistr. 15,M000040,D044973,Björn,Skyddsjakt,Hane,,"Älgvårdsdistr. 15, Lillhärdal",Jämtlands län (S),6862941,445343,Osäker,,Härjedalen (S),,1997-09-04,1997-09-04
,1997-09-08,1997-09-08,0,Sikträsk,M000047,D044968,Björn,Skyddsjakt,Hane,,Sikträsk,Norrbottens län (S),7293724,722227,Osäker,,Arvidsjaur (S),,1997-09-08,1997-09-08
,1997-09-10,1997-09-10,0,Aspberget,M000052,D044969,Björn,Skyddsjakt,Hona,,Aspberget,Norrbottens län (S),7366922,746132,Osäker,,Jokkmokk (S),,1997-09-10,1997-09-10
